Date,Account value
8/22/2022,"29,923.49"
8/23/2022,"29,850.97"
8/24/2022,"29,932.67"
8/25/2022,"30,566.66"
8/26/2022,"29,144.77"
8/29/2022,"28,772.53"
8/30/2022,"28,393.62"
8/31/2022,"28,129.45"
9/1/2022,"28,108.37"
9/2/2022,"27,684.18"
9/5/2022,"27,684.18"
9/6/2022,"27,511.63"
9/7/2022,"28,085.78"
9/8/2022,"28,344.61"
9/9/2022,"28,992.18"
9/12/2022,"29,340.78"
9/13/2022,"27,552.91"
9/14/2022,"27,694.78"
9/15/2022,"27,242.21"
9/16/2022,"27,040.39"
9/19/2022,"27,208.97"
9/20/2022,"26,905.58"
9/21/2022,"26,406.31"
9/22/2022,"26,032.83"
9/23/2022,"25,554.35"
9/26/2022,"25,385.35"
9/27/2022,"25,419.51"
9/28/2022,"25,953.02"
9/29/2022,"25,173.19"
9/30/2022,"24,724.27"
10/3/2022,"25,377.15"
10/4/2022,"26,242.62"
10/5/2022,"26,219.57"
10/6/2022,"26,023.27"
